prompt,tier
A ball is thrown straight upward at 20 meters per second. Using gravity as 9.8 meters per second squared calculate the time to reach maximum height and the maximum height. Show the equations then state one assumption that makes this model approximate. Include the units for both results.,moderate
Balance the chemical equation for methane combustion: CH4 plus O2 yields CO2 plus H2O. Explain how you choose coefficients without changing subscripts. Then calculate how many moles of oxygen are required for two moles of methane. Verify that each element has the same atom count on both sides.,moderate
Design a simple experiment to test whether light color affects plant growth. State the hypothesis independent variable dependent variable and controls. Explain how you would collect measurements over four weeks and why using several plants per condition improves reliability. Include one method for recording the results consistently.,moderate
A circuit has a 12-volt battery and two 6-ohm resistors connected in series. Calculate total resistance current and voltage drop across each resistor. Show the relevant formulas and explain how the answer would differ if the resistors were connected in parallel. State one safety reason to disconnect power before changing components.,moderate
Use a Punnett square to predict offspring traits when two heterozygous pea plants are crossed for a dominant yellow seed trait. State the possible genotypes and phenotype ratio. Explain why a predicted ratio may not match exactly in a small real sample. Distinguish genetic probability from a guaranteed outcome.,moderate
A bag contains 5 red balls 3 blue balls and 2 green balls. Calculate the probability of drawing a blue ball then a red ball without replacement. Show the multiplication rule and explain why the second probability changes after the first draw. Compare this result with drawing the balls with replacement.,moderate
Find the mean median and range of these measurements: 4 7 7 9 13 15. Explain which measure best represents the typical value and why. Then describe how adding one value of 100 would affect the mean and median differently. Show the calculations before interpreting them.,moderate
Explain the difference between weather and climate using a week of rainy days as an example. Identify the time scale involved in each term and describe how scientists use long-term observations to detect climate patterns. Avoid making a forecast. Include one reason a single unusual week cannot establish climate change.,moderate
Calculate the kinetic energy of a 1200-kilogram car traveling at 15 meters per second. Show the formula and units. Then explain what happens to kinetic energy if the speed doubles and why this matters for braking distance. State one assumption made by the simple calculation.,moderate
Explain how natural selection can change the frequency of a trait in a population over generations. Use a simple example involving insects and pesticide exposure. Identify variation inheritance and differential survival in the explanation without implying that individual insects choose to adapt. End by describing what happens after repeated exposure.,moderate
Given a map scale of 1 centimeter to 5 kilometers calculate the real distance for a route measuring 7.4 centimeters. Show the conversion. Then explain how road curves and elevation can make actual travel distance or time differ from a straight map measurement. State which map feature could help refine the estimate.,moderate
Compare conduction convection and radiation as ways heat moves. Give one everyday example for each and explain why a metal spoon heats differently from a pot of water on a stove. Keep the examples tied to the underlying particle behavior. Include a sentence explaining why radiation can travel through space.,moderate
Determine the slope and y-intercept of the line passing through the points 2 5 and 6 13. Show the calculation then write the equation in slope-intercept form. Explain how you would check that both original points satisfy the equation. State how the slope describes the line's direction.,moderate
Explain how a lunar eclipse occurs and why it does not happen every month. Describe the alignment of the Sun Earth and Moon. Then distinguish a total lunar eclipse from a partial lunar eclipse using the position of the Moon in Earth's shadow. Keep the explanation focused on geometry rather than astrology.,moderate
A sample contains 80 grams of a substance with a half-life of 6 hours. Calculate how much remains after 18 hours. Show each decay interval and explain why the amount decreases by a fraction rather than a fixed number of grams. Include one sentence about what the half-life does not tell you.,moderate
Analyze the chord progression C major then A minor then F major then G major. Identify the Roman numerals in the key of C major and explain why the progression tends to create a sense of return. Suggest one chord that could extend it. Keep the explanation accessible to a beginning music student.,moderate
Use the ideal gas law to calculate the volume of 0.5 moles of an ideal gas at 300 kelvin and 1 atmosphere. Use R equals 0.0821 liter atmospheres per mole kelvin. Show unit substitution and state one condition where the ideal gas model becomes less accurate. Round the final volume appropriately.,moderate
Design a migration plan for a decade old Java monolith that authorizes card payments and stores orders in one PostgreSQL primary located in Melbourne. Sales peaks reach four thousand requests per second and the business must add European customers without exposing card data across regions. The replacement must support active traffic in Melbourne and Frankfurt while preserving PCI DSS controls and exactly once financial outcomes. Produce a target architecture with bounded services event contracts and ownership boundaries. Explain the extraction sequence for checkout ledger refunds and notifications. Define idempotency keys ordering guarantees schema evolution and replay procedures. Cover dual writes backfills reconciliation of settled transactions and a rollback path for every migration phase. Specify encryption key management regional data residency access controls and audit evidence. Include capacity assumptions failure modes network partitions dead letter handling observability signals and alert thresholds. Finish with a phased delivery roadmap that identifies team dependencies test environments success metrics and the conditions required before retiring the monolith.,complex
Analyze an intermittent production failure in a Go service mesh where checkout requests return HTTP 503 only during traffic spikes. The payment service appears healthy but traces show repeated retries between the gateway inventory service and a sidecar proxy. Database latency rises after the retries begin and autoscaling adds pods too late. You have read access to traces metrics deployment history and configuration but cannot change production until a reviewed plan exists. Develop a diagnostic strategy that separates root cause candidates from secondary effects. Specify the evidence needed for each hypothesis and the order in which to collect it. Examine retry budgets circuit breaking connection pools DNS behavior resource limits autoscaler signals and database saturation. Propose safe experiments for staging and limited production validation. Then design a remediation that prevents retry storms while retaining resilience for genuine transient failures. Include configuration changes code changes capacity safeguards dashboards alert rules rollout stages rollback criteria and an incident report structure that allows executives and engineers to reach consistent conclusions.,complex
Create a reference architecture for a multi tenant analytics SaaS that ingests customer events through public APIs and produces dashboards within five minutes. Enterprise tenants require regional residency dedicated encryption keys single sign on and exportable audit trails. Smaller tenants may share compute but cannot observe one another through timing metadata query plans or support tooling. The service must handle sudden traffic from a single tenant without degrading all other customers. Describe the control plane and data plane along with tenancy boundaries at identity ingestion storage processing caching and observability layers. Choose isolation strategies for each tier and justify their cost and operational tradeoffs. Define quotas admission control backpressure retention deletion and lawful export workflows. Explain how schema changes customer managed keys identity provider outages and cross region failures should behave. Include threat modeling for insider access and noisy neighbor risks. Provide a delivery sequence with milestones test scenarios operational ownership service level objectives and a decision record for cases where premium tenants require stronger isolation.,complex
Plan a staged refactor of an eight module TypeScript ecommerce platform whose checkout code reads directly from inventory pricing loyalty and shipping databases. Teams deploy independently but shared table changes regularly cause failed releases. The organization wants to introduce domain APIs without pausing feature delivery or changing customer visible behavior. Begin by mapping dependencies and identifying transaction boundaries that cannot be broken safely. Propose module interfaces ownership rules and an anti corruption layer for legacy calls. Describe how to migrate reads writes and reporting workloads while preserving consistency for stock reservation discount calculation and order fulfillment. Address contract tests versioning feature flags data synchronization and the treatment of historical records. Define a strategy for replacing shared tables without permanently creating duplicate sources of truth. Include codebase organization package boundaries build rules and review practices. Provide a release sequence that covers developer environments integration tests canary deployment production monitoring rollback and the eventual deletion of old adapters. Explain how you would measure whether coupling is actually decreasing during the program.,complex
Produce an incident response and hardening design for a Kubernetes platform that hosts regulated workloads in three cloud regions. A recent incident began when a routine certificate renewal triggered an ingress reload storm. Several clusters lost API responsiveness and recovery required manual changes by privileged engineers. The platform must continue serving critical workloads when one region fails while ensuring no unapproved operator can bypass change controls. Describe the likely dependency chain from certificate issuance through ingress reconciliation and cluster control plane pressure. Create a layered response plan for the next occurrence including immediate containment evidence preservation communications and service restoration. Then propose architectural changes involving certificate automation rate limits workload priority network policy cluster sizing and control plane isolation. Define break glass access with approval logging expiry and post incident review. Include disaster recovery drills backup verification restoration objectives observability requirements and chaos tests. State how application teams should be notified of changes and how their manifests will be validated before rollout. Provide a multi quarter implementation roadmap with risk owners measurable resilience targets and acceptance criteria.,complex
Design a versioned public API migration for a logistics platform used by six thousand external integrators. The current API exposes inconsistent resource names undocumented pagination behavior and webhooks that can arrive out of order. A new API must add tenant scoped authorization stable idempotent shipment creation and richer tracking events while allowing existing clients to operate for eighteen months. Develop compatibility rules for request validation response fields error codes timestamps pagination and webhook signatures. Explain how you would discover undocumented client dependencies before announcing the change. Specify gateway routing client registration authentication migration rate limiting and usage telemetry. Create a webhook delivery model with ordering semantics replay support deduplication and dead letter recovery. Include an SDK strategy across three languages documentation samples contract testing and a sandbox environment that realistically mirrors production. Define the deprecation communications escalation process support model and legal notice requirements. Present rollout phases with success thresholds fallback actions and final shutdown controls. Address how the platform should respond when an old client depends on behavior that conflicts with a security fix.,complex
Architect data storage for a global marketplace that records listings bids purchases returns and payouts. The present relational cluster cannot absorb the expected tenfold growth and cross region replica lag creates conflicting item availability. Marketplace operators need fast customer search while finance needs immutable payout evidence and analysts need near real time aggregates. Design a polyglot persistence approach without treating every database as independently authoritative. Define the source of truth for each business object and explain how events flow among transactional storage search indexing warehousing and archival systems. Address partitioning keys hot seller mitigation transaction boundaries duplicate event handling and temporal corrections. Describe how inventory availability should be computed during partitions and how users are informed of uncertainty. Include retention deletion requirements reconciliation jobs and audit trail design. Provide a disaster recovery model for region loss including recovery point and recovery time objectives. Finish with a schema migration strategy capacity model operational dashboards on call procedures and a test plan that exercises data corruption delayed events and replay at production scale.,complex
Specify a modular implementation plan for a small programming language that supports functions algebraic data types pattern matching lexical closures and an effectful standard library. The implementation must be maintained by several engineers and should make future optimization possible without rewriting the parser or type checker. Choose a project structure that separates lexing parsing abstract syntax semantic analysis type inference intermediate representation bytecode generation virtual machine execution and diagnostics. Explain data structures for source spans symbols scopes types substitutions and error recovery. Define the grammar ambiguities and how the parser will produce useful errors for incomplete editor input. Detail Hindley Milner style inference with constraints generalization instantiation and exhaustiveness checking. Describe a bytecode instruction set calling convention garbage collection approach and foreign function boundary. Include test layers from unit tests through property tests golden diagnostics and differential tests against an interpreter. Outline milestones interfaces between modules performance benchmarks debugging tools and how a future optimizer can preserve language semantics while transforming compiled programs.,complex
Design an end to end feature pipeline for machine learning models that predict account churn across consumer and enterprise customers. Source data comes from product events billing records support tickets and manually corrected CRM fields. Training data must remain reproducible even when source systems are rewritten and privacy rules require deletion requests to propagate through stored features and model artifacts. Define ingestion validation entity resolution temporal joins feature definitions point in time correctness and lineage capture. Explain how online and offline features will remain consistent while accounting for late events and corrections. Specify governance for feature ownership approval deprecation access control and documentation. Build a plan for drift detection bias evaluation data quality alerts and model rollback after harmful predictions. Include experiment tracking training environment isolation registry promotion and serving safeguards. Describe incident handling when a feature leaks future information or contains prohibited attributes. Provide storage choices capacity assumptions service level objectives cost controls and a phased implementation plan that separates foundational platform work from the first production model.,complex
Plan an offline first synchronization architecture for a field inspection mobile application used on tablets with unreliable connectivity. Inspectors complete forms attach photographs capture signatures and sometimes edit the same asset from different locations. Supervisors need near real time visibility when connectivity returns while legal teams require an immutable history of submitted inspections. The current application uploads whole records and loses changes when users reconnect after several days. Define a client data model local persistence encryption conflict representation and sync protocol. Explain how edits attachments deletions drafts and submissions should behave across devices. Choose conflict resolution policies for structured fields free text and legally final records. Describe server APIs event ordering idempotency retries partial uploads and bandwidth adaptation. Include authentication token renewal offline access rules device revocation and remote wipe behavior. Propose user experience cues that make conflicts understandable without hiding risk. Specify test matrices for airplane mode clock skew app upgrades duplicated messages and malicious clients. Finish with observability privacy retention rollout migration from existing records and recovery procedures when local databases become corrupted.,complex
Review and redesign a proposed change to a high volume notification service where engineers replaced a transactional outbox with direct asynchronous publishes after each database commit. The change seems simpler but production has previously suffered from duplicate emails missing receipts and inconsistent unsubscribe enforcement. The service handles marketing transactional and security messages through separate providers and must demonstrate delivery history to auditors. Analyze the failure modes introduced by the proposal under process crashes provider timeouts database failover and concurrent preference updates. Compare at least two durable delivery designs and choose one for this context. Define message identity state transitions retry schedules ordering rules provider abstraction and idempotency behavior. Explain how suppression lists consent changes template revisions and recipient deletion affect messages already queued. Include database schema changes migration handling replay controls monitoring dashboards and alert thresholds. Recommend code review checks integration tests fault injection scenarios and operational runbooks. Present a rollout plan that protects high risk security notifications while validating the new design with lower risk traffic.,complex
Write a zero downtime migration architecture for an enterprise identity system moving from a legacy LDAP directory to an OpenID Connect provider. Forty internal applications use different protocols and many have hard coded group names. Some applications run on premises while others run in two cloud regions. The company must preserve least privilege avoid mass password resets and retain evidence for access reviews. First establish an inventory method that discovers every relying party credential group mapping and service account. Define the canonical identity schema lifecycle events group policy translation and entitlement ownership model. Explain federation patterns for applications that cannot immediately speak modern protocols. Cover password migration multi factor enrollment session coexistence account linking and delegated administration. Specify synchronization direction conflict rules deletion propagation and recovery after a failed import. Include security controls for token issuance secret rotation privileged access auditing and anomaly detection. Provide testing environments representative test identities migration waves communication templates help desk workflows rollback conditions and final decommission steps. Explain how compliance teams can prove that access did not expand during the transition.,complex
Design a central observability platform for a company with hundreds of services running across Kubernetes virtual machines and serverless functions. Teams currently use incompatible dashboards and logs often lack request identifiers. The new platform must lower incident investigation time while controlling telemetry costs and preventing sensitive customer fields from reaching shared tools. Define a common event schema trace propagation conventions metric cardinality rules log severity taxonomy and ownership boundaries. Choose collection paths storage tiers retention policies sampling methods and query access controls. Explain how to correlate a customer report with edge traffic application traces queue activity database calls and deployment changes. Address cross region aggregation tenant segregation data redaction encryption and legal hold workflows. Create service onboarding requirements automated validation library support and adoption incentives. Include reliability objectives for the platform itself plus capacity planning failure isolation and disaster recovery. Specify alert design with symptom based alerts dependency alerts anomaly detection and escalation policies. Deliver a phased rollout plan that migrates existing dashboards preserves useful historical data trains teams and measures whether diagnosis quality improves without encouraging noisy telemetry.,complex
Create a secure delivery platform design for forty repositories maintained by teams with different release schedules. The organization needs reproducible builds automated testing signed artifacts policy gates and safe progressive deployments to Kubernetes and virtual machine targets. Current pipelines run with long lived cloud credentials and every repository has bespoke scripts. Propose a shared architecture for source triggers build isolation dependency caching artifact provenance secretless authentication and environment promotion. Define a reusable pipeline contract that permits language specific steps without allowing teams to evade security requirements. Explain supply chain controls for third party packages base images build tools and deployment manifests. Specify how release approvals emergency patches change freezes and separation of duties work without making routine delivery slow. Include rollback mechanisms database migration coordination feature flag governance and configuration drift detection. Design audit records dashboards failure notifications and service level objectives for the platform. Provide an adoption sequence that starts with a pilot group then handles legacy repositories and eventually retires unsafe credential patterns. State the test strategy for compromised runners malicious pull requests expired certificates and partial deployment failures.,complex
You are chief of staff for a manufacturer preparing a board meeting after a difficult quarter. Finance reports declining margin while operations reports a major quality issue and sales claims a large pipeline recovery. Source materials include monthly financial packs plant incident notes customer meeting summaries and a draft forecast prepared by different teams. Create a process for synthesizing these materials into a decision oriented board package without hiding disagreements or overstating certainty. Define how you will validate figures reconcile conflicting definitions of margin distinguish confirmed orders from pipeline and assess the operational impact on future revenue. Specify the structure of an executive narrative key exhibits risks decisions requested and appendix evidence. Include an approach for confidential information version control review ownership and late changes. Develop speaking notes for the chief executive finance lead and operations lead that stay consistent under questioning. Provide a meeting agenda with time allocation and a method for recording actions owners due dates and follow up metrics. Explain how the package should be revised if a material customer cancellation occurs two days before the meeting.,complex
Design a global employee onboarding operating model for a company expanding into six countries through acquisitions. New hires must receive accounts equipment payroll enrollment policy training and local manager support by their first day. Existing processes live across HR systems ticketing tools spreadsheets and email inboxes with unclear ownership. Build a future state workflow that maps each handoff from accepted offer through the first ninety days. Identify a master employee record privacy boundaries regional variations approval points and exception paths. Define roles for human resources IT security facilities payroll managers and acquired company contacts. Explain how to handle delayed background checks late start date changes duplicate identities and employees who transfer between countries. Specify service level targets status communications audit evidence and dashboard metrics. Create a data migration and integration plan that minimizes manual reentry while preserving sensitive documents. Include change management training operating procedures and a phased rollout by country. Provide risk controls for access granted too early missing equipment local labor requirements and failed integrations. Finish with governance forums continuous improvement methods and criteria for deciding when local customization is justified.,complex
Build a decision package for selecting a five year procurement strategy for customer relationship management software. The company has three thousand users across sales service marketing and partner teams. Two vendors meet most functional requirements but differ sharply in pricing implementation effort data residency extensibility and ecosystem lock in. Current customer data contains duplicate records custom workflows and integrations with billing support telephony and analytics tools. Develop an evaluation model that combines total cost of ownership business value implementation risk security compliance and exit difficulty. State the data required from vendors and internal teams plus how you will validate claims through demonstrations reference checks and proof of concept scenarios. Define weighted criteria sensitivity analysis and a method for separating mandatory requirements from preferences. Include contract terms on availability support data export price protection intellectual property and audit rights. Propose governance for the selection committee conflicts of interest decision records and executive approval. Present a transition outline for the preferred option including data cleanup integration sequencing user adoption and contingency plans if negotiations fail.,complex
Create a recovery plan for a strategic transformation program that is six months behind schedule and has exceeded its approved budget. The program includes a new finance system redesigned procurement processes and reporting changes across twelve business units. Sponsors disagree about whether the root cause is vendor performance insufficient internal staffing or uncontrolled scope. Construct a fact finding approach that can establish a shared baseline without stopping critical work. Define how to analyze schedule dependencies budget commitments deliverable quality business readiness and contractual obligations. Develop options ranging from controlled acceleration through phased delivery to scope reduction and explain the consequences of each. Specify governance resets decision rights escalation paths weekly reporting and criteria for accepting or rejecting change requests. Include a plan for renegotiating vendor milestones while protecting leverage and preserving working relationships. Address workforce fatigue training readiness data migration risk and quarter end financial reporting constraints. Deliver a ninety day stabilization roadmap with measurable recovery indicators. Explain how you would communicate candidly with executives employees and affected business leaders while maintaining confidence in the achievable path.,complex
Draft an operating model for harmonizing records retention and document approval practices across a multinational company after several acquisitions. Different units use shared drives collaboration tools paper archives and local vendors. Legal teams require defensible retention while employees need practical ways to find current policies and contract versions. Build a classification scheme that handles customer records employee files financial evidence product documentation and litigation holds. Define ownership for policies metadata access reviews retention schedules disposal approvals and exception requests. Explain how legacy repositories should be inventoried deduplicated migrated or securely destroyed. Include jurisdictional privacy differences cross border transfers and the treatment of records held by departing employees or third parties. Design approval workflows for controlled documents with version history attestations and emergency updates. Specify integration requirements for identity access management search and audit logging. Provide adoption plans training materials support channels and enforcement mechanisms that do not create excessive administrative burden. Include monitoring metrics periodic control testing incident response and a roadmap that prioritizes the repositories with the greatest legal and operational exposure.,complex
Plan an audit readiness program for a company seeking assurance over its revenue recognition and access management controls before a public offering. Evidence is fragmented among finance systems ticket exports code repositories cloud logs and informal manager approvals. The program must identify control gaps without encouraging teams to fabricate evidence after the fact. Create a scoping method that maps material processes systems risks controls control owners and evidence sources. Define walkthrough procedures sampling logic evidence quality standards and how exceptions will be evaluated. Explain how to test automated controls that depend on application configuration infrastructure permissions and deployment history. Include remediation tracking root cause analysis compensating controls and procedures for retesting. Design a secure evidence repository with access restrictions immutable timestamps versioning reviewer notes and retention rules. Specify governance involving internal audit finance security engineering legal and external auditors. Develop a calendar that accounts for quarter close change freezes and management certification. Provide training and communication plans for control owners. Finish with executive reporting that distinguishes actual control effectiveness from documentation completeness and clearly states residual risks requiring board attention.,complex
Build a revenue retention model for a subscription business that sells monthly and annual plans through direct sales and self service channels. The finance team wants a board forecast while product leaders want to understand drivers of churn. Available tables contain invoices account hierarchies product usage events sales opportunities support incidents and contract amendments. Definitions differ across teams for active customer expansion and churn. Design a canonical data model and reconciliation process that creates trustworthy logo retention gross revenue retention net revenue retention bookings and recognized revenue views. Explain how to treat upgrades downgrades pauses refunds late payments merged accounts and contracts that start in the future. Define cohort logic segmentation dimensions attribution rules and point in time snapshots. Develop forecast scenarios based on pipeline conversion usage trends renewal probability and macro assumptions. Include data quality checks lineage ownership refresh cadence and exception handling. Specify a dashboard structure for executives finance and account managers while preventing conflicting numbers. Provide validation tests against the general ledger and a plan for communicating uncertainty when the forecast moves because historical definitions were corrected.,complex
Develop an inventory planning analysis for a retailer with stores warehouses drop ship suppliers and seasonal product lines. Demand history is distorted by stockouts promotions returns and a recent change in product hierarchy. The company wants lower working capital without increasing missed sales. Create a method for consolidating transaction data supplier lead times purchase orders inventory movements web traffic and promotion calendars into an analytical model. Explain how you will correct for censored demand identify substitution effects and distinguish slow movers from products temporarily unavailable. Define forecasting approaches for stable seasonal intermittent and new products along with criteria for choosing among them. Specify safety stock reorder points service level targets and allocation logic when inventory is scarce. Include supplier reliability scoring lead time uncertainty and minimum order constraints. Design simulations that compare current policy with proposed policies under demand shocks and delayed deliveries. Provide reporting views for merchants planners finance and operations. Address data governance hierarchy changes automated monitoring exception workflows and how model recommendations will be reviewed before becoming purchase orders.,complex
Design an analysis and decision framework for a bank that wants to reduce fraudulent card transactions without creating unacceptable friction for legitimate customers. Data includes authorization attempts merchant categories device signals transaction history chargebacks support contacts and manual review outcomes. Labels arrive late and some analysts have applied inconsistent reasons. Develop an approach for cleaning labels defining a fraud taxonomy and preventing future leakage from post transaction information. Explain feature windows entity relationships class imbalance and time based validation. Compare rules supervised models and hybrid approaches using cost sensitive metrics that account for false declines customer lifetime value and operational review capacity. Specify threshold policies by risk segment merchant geography and customer tenure while considering fairness and regulatory review. Include monitoring for drift adversarial adaptation feedback loops and vendor data outages. Design an experiment plan with holdouts staged exposure and guardrails for harmful outcomes. Provide dashboard requirements investigation workflows model governance documentation and rollback triggers. Explain how disputed transactions and changing chargeback rules will be incorporated without rewriting every historical decision.,complex
Create a territory redesign analysis for a business to business sales organization entering three new regions while preserving relationships with strategic accounts. Current assignments are based on historical geography but account potential differs greatly and several sellers own overlapping subsidiaries. Leadership wants more equitable workloads higher coverage and minimal disruption before the next fiscal year. Build a data preparation plan using account hierarchies revenue potential opportunity history travel time seller capacity compensation plans and customer relationship signals. Define a scoring model for account value complexity and relationship risk. Explain how to create candidate territories while respecting geographic contiguity language needs named account protections and manager spans. Develop scenario comparisons for revenue capacity fairness and transition disruption. Specify how exceptions will be approved and how disputes will be resolved. Include a change management plan for sellers managers customers and compensation administrators. Design post rollout metrics and a process for reassignment when new subsidiaries appear. Provide sensitivity analysis for uncertain account potential and a governance model that keeps territory changes from becoming ad hoc political decisions.,complex
Prepare an evidence weighted historical synthesis explaining why the Atlantic revolutions between the late eighteenth and early nineteenth centuries produced different political outcomes in North America France Haiti and Spanish America. The audience is a university seminar and expects clear distinction between established scholarship contested interpretations and unsupported popular claims. Build a chronological framework that links imperial institutions social hierarchy economic structures international war and local leadership. Compare how enslaved people indigenous communities women merchants and rural populations shaped events rather than treating each revolution as elite politics alone. Explain how to evaluate primary accounts against later historical interpretations and how translation bias can affect surviving evidence. Address terms such as liberty citizenship sovereignty and race as concepts whose meaning changed by place and time. Include a source strategy that balances scholarly monographs archival materials and museum resources. Propose an annotated outline with claims evidence counterarguments and transitions. Finish with discussion questions that require students to compare causation contingency and memory without collapsing distinct national histories into a single simple narrative.,complex
Translate and localize a long product safety policy from English into Japanese German and Brazilian Portuguese for a global marketplace. The source contains legal obligations technical warnings customer support escalation instructions and user interface labels that must fit into limited screen space. Develop a workflow that separates literal translation from jurisdiction aware localization while preserving the legal meaning approved by counsel. Identify terms that need a shared glossary style guidance or regional legal review. Explain how you will handle polite formality product names units dates emergency contact instructions and strings with variable placeholders. Define quality assurance steps involving bilingual review back translation terminology checks layout testing and accessibility evaluation. Include a process for detecting phrases whose cultural meaning could cause confusion or offense. Specify version control source change tracking translation memory ownership and release approvals. Provide a plan for resolving disagreements between local marketing teams and legal reviewers. Finish with test cases for truncated interface text mixed language user accounts right to left rendering dependencies and emergency policy updates that must be published across all languages at once.,complex
Create a comparative reference guide on how five major religious and philosophical traditions approach ethical duties to strangers family members political authority and the natural world. The guide must avoid presenting any tradition as internally uniform or treating modern interpretations as identical to ancient texts. Develop a research method that identifies foundational sources later commentaries regional variations and debates among contemporary scholars. Explain how translation choices historical setting and colonial interpretation may shape common summaries. Build a structure that lets readers compare concepts without forcing false one to one equivalents. For each topic distinguish descriptive claims about practice from normative claims about teaching. Include a protocol for citing passages responsibly and for flagging disputed attributions. Address how to discuss sensitive practices respectfully while acknowledging criticism from insiders and outsiders. Produce an outline for a public education exhibit with layered explanations for school visitors and adult readers. Include review stages with subject matter advisers accessibility checks and criteria for revising the guide when a community identifies an inaccurate or harmful representation.,complex
Develop a fact checking dossier about the historical claim that a particular civilization independently invented a named technology before all neighboring societies. The request comes from a museum preparing an exhibit and the claim appears in popular books social media posts school materials and promotional copy. Create a research plan that first defines what counts as the technology and what evidence would demonstrate invention adoption adaptation or independent discovery. Explain how to assess archaeology textual evidence laboratory dating methods trade networks and the possibility of lost materials. Build a timeline that distinguishes securely dated finds from contested ones. Identify common reasoning errors such as treating first surviving evidence as first use or assuming cultural contact proves direct borrowing. Specify how translations national narratives and commercial incentives may bias sources. Propose an exhibit narrative that conveys uncertainty without becoming evasive. Include an evidence table template source evaluation criteria expert review procedures and citation standards. Finish with a response protocol for stakeholders who demand a definitive statement that the available evidence cannot support.,complex
Plan a twenty four day family trip across Japan South Korea and Taiwan for two adults and two teenagers. The trip begins in Osaka and ends in Taipei during school holidays. One traveler uses a wheelchair for long distances while another avoids shellfish and sesame. The family wants a mix of major cities cultural sites hiking that has accessible alternatives street food and one quiet coastal stay. Their budget is fixed and they prefer rail where practical but will fly to avoid exhausting transfers. Build a day by day itinerary that groups neighborhoods efficiently and identifies advance reservations accessible transit options luggage forwarding rest periods and weather backup plans. Explain the tradeoffs behind each transport choice and how time zones arrival fatigue and local holidays affect the schedule. Include a realistic budget model covering lodging food transport attractions insurance and contingency funds. Specify booking order visa and document checks emergency contacts translation aids medical access planning and a packing strategy. Provide a contingency plan for lost mobility equipment severe weather missed connections and a traveler becoming ill without derailing the whole group.,complex
Design a customer support transformation plan for a software company whose ticket backlog has doubled and whose enterprise customers report inconsistent answers across chat email and phone. Tickets involve billing outages account access integrations and data export requests. Agents lack a trusted knowledge base and escalations to engineering have no service level agreement. Build a diagnosis method using ticket taxonomy customer sentiment resolution time repeat contacts and escalation outcomes. Define a target operating model with intake triage authentication severity rules ownership handoffs and customer communications. Explain how knowledge articles should be created reviewed localized retired and linked to product releases. Design escalation paths for security incidents service outages legal requests and complex technical investigations. Include staffing forecasts queue management quality assurance coaching and a plan for using automation without hiding urgent cases. Specify metrics that balance speed accuracy customer effort and deflection. Provide systems integration requirements for CRM telemetry status pages and engineering issue tracking. Finish with a phased rollout that pilots a small queue gathers evidence handles resistance from experienced agents and protects key accounts during the transition.,complex
Create a series bible for an eight episode speculative drama set in a coastal city adapting to rising seas. The story follows a public works engineer a fishing family a property developer a teenage climate activist and an archivist who discovers records of an earlier abandoned evacuation plan. The show must sustain moral ambiguity and avoid reducing climate change to a single villain. Develop the season arc episode premises character histories secret motivations relationship changes and thematic questions. Explain how the fictional politics economy ecology and infrastructure create pressure on each character. Build a timeline that reveals the archived plan gradually while ensuring every episode has its own emotional turning point. Define visual motifs sound design principles and rules for depicting flooding without turning disaster into spectacle. Include a continuity system for locations weather public opinion and character knowledge. Propose a writers room process for researching coastal communities consulting subject experts and testing cultural representation. Finish with sample scene objectives for the pilot midpoint and finale plus a revision plan if audience feedback finds the technical context confusing or the ending too bleak.,complex
Construct a relocation plan for a household moving from Melbourne to Vancouver with two children a remote working parent and a dog. The move must occur within four months while one child finishes a school term and the other needs continuity of specialized learning support. The family has a fixed relocation allowance but may need temporary housing before a long term lease. Develop a timeline that coordinates immigration documentation school enrollment pet transport housing search shipping tax records health coverage banking and employer obligations. Explain dependencies that could delay the move and identify decisions that must be made before visas or leases are finalized. Build a budget with currency uncertainty deposits travel storage shipping insurance and emergency reserves. Include a plan for sorting household possessions handling electronics winter clothing and important records. Define communication tasks for schools employers landlords and service providers. Provide arrival week and first ninety day checklists covering transit local care support networks and administrative setup. Finish with contingency branches for visa delays rental scams a missed pet flight shipment loss or a child struggling to settle.,complex
Plan a three day wedding celebration for one hundred and twenty guests at a rural venue where some guests will travel internationally and several need step free access or dietary accommodations. The couple wants a welcome dinner cultural ceremony reception and farewell brunch while keeping noise limits and weather risks under control. Build a planning framework that sequences venue contracts suppliers guest communications transport lodging ceremony requirements and payment milestones. Define a budget model with contingency reserves and a method for prioritizing must have elements when quotes exceed expectations. Explain how you will coordinate catering across allergies religious requirements and service timing without exposing private health details. Design a guest travel plan covering airport transfers local maps language support and emergency contacts. Include accessible routes seating restroom access lighting and evacuation needs. Specify run sheets for each event vendor responsibilities backup power rain alternatives and decision authority on the day. Provide a process for handling late cancellations family conflict supplier failure and a weather emergency. Finish with post event tasks for gratuities rentals photo permissions reimbursements and accounting reconciliation.,complex
