prompt,tier,word_count,char_count,sentence_count,avg_word_length,has_question_mark,code_token_count,instruction_verb_count,tier_label
Diagnose why a Linux script cannot execute after it was copied from another machine. Give commands to inspect permissions and line endings then show the minimal fix. Explain why a shebang alone does not make a file executable. State how to verify that the corrected script now runs.,moderate,48.0,282.0,4.0,5.88,0.0,0.0,3.0,1
Create an Excel formula that returns Pass when a score in cell B2 is at least 70 and Attendance in C2 is at least 80 percent. Otherwise return Review. Explain how the nested logical test works and describe two sample results. Make the formula safe to copy down a column.,moderate,50.0,270.0,4.0,5.4,0.0,0.0,4.0,1
Design a small Python class named Temperature with a Celsius field and methods to convert to Fahrenheit and Kelvin. Validate that Kelvin never becomes negative. Include a constructor and two method calls then explain where validation belongs. Keep the class in one file without external packages.,moderate,46.0,296.0,4.0,6.43,0.0,2.0,4.0,1
Write a GraphQL resolver for a product field that loads one item by ID from an in-memory array. Return null when no product matches. Include the schema type and resolver function and explain how the argument is passed into the resolver. Add one example query and its expected shape.,moderate,49.0,282.0,4.0,5.76,0.0,1.0,3.0,1
Show how to add centralized error handling to a minimal Express application with one GET route. Return JSON for an unexpected error without revealing a stack trace. Explain where the middleware must be registered and why its four parameters matter. Include one way to trigger the handler during testing.,moderate,49.0,303.0,4.0,6.18,0.0,0.0,2.0,1
Create a Kubernetes Deployment manifest for a single web container with two replicas a readiness probe and resource requests. Use placeholder image values. Explain the difference between readiness and liveness checks and why resource requests influence scheduling. Keep all configuration in one YAML file.,moderate,44.0,305.0,4.0,6.93,0.0,0.0,2.0,1
Write a Terraform configuration that creates one private object storage bucket and enables versioning. Use a variable for the bucket name. Explain how terraform plan differs from terraform apply and why versioning helps recover from accidental overwrites. Keep the configuration limited to one provider and one resource.,moderate,47.0,320.0,4.0,6.81,0.0,0.0,4.0,1
Write a Java method that sorts a list of Employee objects by salary descending and then by name alphabetically. Use a Comparator rather than changing the Employee class. Explain how the chained comparison establishes the tie breaking rule. Include a short sample list and expected ordering in prose.,moderate,48.0,299.0,4.0,6.23,0.0,0.0,3.0,1
A database query filtering invoices by customer_id has become slow after the table grew. Explain how to decide whether an index on customer_id is appropriate. Include a sample EXPLAIN workflow and one downside of adding too many indexes. State one reason an index might not be used.,moderate,47.0,282.0,4.0,6.0,0.0,0.0,3.0,1
Review a small HTML checkout form for accessibility. Identify changes for labels keyboard focus error messages and button text. Provide a corrected snippet for one input field and explain how the changes help a screen reader user complete the form. Keep the review limited to client-side markup.,moderate,47.0,295.0,4.0,6.28,0.0,0.0,2.0,1
Explain the authorization code flow in OAuth for a web application using a third-party identity provider. Describe the roles of the browser application authorization server and resource server. Then explain why an authorization code should not be exposed in a public log. Keep the sequence focused on one user sign-in.,moderate,50.0,318.0,4.0,6.36,0.0,0.0,2.0,1
Write a Python generator that yields lines from a text file after stripping the newline and skipping blank lines. Demonstrate consuming it in a for loop. Explain why a generator may use less memory than returning a complete list. Include safe handling for a missing file path.,moderate,47.0,276.0,4.0,5.87,0.0,0.0,3.0,1
Create a JavaScript function that deep clones a JSON-compatible object without using a third-party package. State which values this approach cannot preserve. Include an example with nested arrays and explain why a shallow copy would be insufficient. Describe how the function handles primitive values.,moderate,44.0,301.0,4.0,6.84,0.0,2.0,5.0,1
Write a shell script that checks disk usage for a given directory and prints Warning when usage exceeds a percentage supplied as an argument. Validate missing arguments and use standard Unix commands only. Explain how the script extracts the percentage from command output. Include an example invocation.,moderate,47.0,304.0,4.0,6.47,0.0,0.0,3.0,1
Show a secure PHP registration snippet that hashes a submitted password before storing it. Use password_hash and password_verify in the example. Explain why plain text passwords and fast hash functions are unsafe for credential storage. Mention how an application should handle a failed verification.,moderate,44.0,300.0,4.0,6.82,0.0,1.0,1.0,1
Explain a Rust ownership error that occurs when a String is moved into a helper function and later used again. Provide two corrections using a borrowed reference and a clone. State when cloning is acceptable and when borrowing is preferable. Include a minimal code example for each approach.,moderate,48.0,291.0,4.0,6.06,0.0,1.0,3.0,1
Write a C++ program that reads one text file and counts words while ignoring repeated whitespace. Use standard library streams only. Explain how extraction with the stream operator naturally handles spaces and show how to report a failed file open. Keep the solution in a single main function.,moderate,48.0,293.0,4.0,6.1,0.0,1.0,2.0,1
Implement a small Go worker pool that processes integers from a channel and prints their squares. Use two workers and a WaitGroup. Explain how closing the jobs channel lets workers finish cleanly and why the WaitGroup is needed. Keep the program in one file and avoid external dependencies.,moderate,48.0,290.0,4.0,6.04,0.0,0.0,2.0,1
Write a unit test for an ASP.NET controller action that returns NotFound when a repository cannot locate an order. Use a mock repository. Explain the arrange act assert structure and state which HTTP status code the test should verify. Include the expected assertion for the action result type.,moderate,48.0,294.0,5.0,6.12,0.0,0.0,4.0,1
Perform a code review of a Python function that builds SQL with string concatenation from a username. Describe the security risk and rewrite the database call using a parameterized query. Explain why escaping quotes manually is not a reliable solution. Include one example of safe query parameter binding.,moderate,48.0,305.0,4.0,6.35,0.0,1.0,6.0,1
Create a GitHub Actions workflow YAML file that runs tests for a Python project on each push. Include checkout Python setup dependency installation and pytest. Explain how the job steps run in order and where a version matrix could be added later. Keep the workflow limited to one job.,moderate,49.0,285.0,4.0,5.82,0.0,0.0,3.0,1
Draft a minimal OpenAPI definition for one GET endpoint that retrieves a book by ID. Include a path parameter and responses for success and not found. Explain how the schema helps client developers understand the API contract. Use a compact YAML example with one reusable book schema.,moderate,47.0,284.0,4.0,6.04,0.0,0.0,4.0,1
Draft a polite email to a supplier whose shipment is five days late. Ask for a revised delivery date and confirm whether the missing stock affects next week's promotion. Keep the tone collaborative and include a clear request for a response by Friday. Limit the message to 130 words.,moderate,49.0,283.0,4.0,5.78,0.0,0.0,2.0,1
Turn these meeting notes into an action list: launch date moved to May 12; Sam owns testing; Priya will confirm the venue; finance needs the updated budget. Format the result with owner deadline and dependency for each action. Flag the item that blocks the launch decision. Use concise professional wording.,moderate,50.0,307.0,4.0,6.14,0.0,3.0,0.0,1
Write constructive performance feedback for an analyst who produces accurate reports but often misses agreed handoff times. Mention one strength one observed impact and two practical improvement actions. Use a respectful manager tone and avoid making assumptions about the reason for delays. End with a supportive follow-up plan.,moderate,48.0,329.0,4.0,6.85,0.0,0.0,3.0,1
Create a 45-minute agenda for a weekly project meeting that has status updates a risk discussion and a decision on scope. Allocate time to each section and include the intended outcome. End with a short method for recording owners and due dates. Make the agenda suitable for a cross-functional group.,moderate,50.0,300.0,4.0,6.0,0.0,1.0,2.0,1
Draft an internal announcement explaining a revised expense policy that now requires receipts for claims above 50 dollars. State the effective date how employees submit receipts and where questions should go. Use plain language that works for both new starters and experienced staff. Include an informative subject line.,moderate,48.0,320.0,4.0,6.67,0.0,0.0,4.0,1
Propose a scheduling method for four interviewers who each need to meet six candidates over one afternoon. Explain how you would avoid double bookings reserve breaks and handle a candidate who can attend only after 2 PM. Present the method as operational steps for a coordinator. Include a simple conflict check.,moderate,51.0,312.0,4.0,6.12,0.0,0.0,3.0,1
Summarize a service agreement for a nonlegal manager using these terms: a 12-month term; monthly billing; either party may cancel with 30 days notice; support is available during business hours. Highlight obligations risks and one question the manager should clarify before signing. Use short plain-language sections.,moderate,46.0,317.0,3.0,6.89,0.0,3.0,1.0,1
Build an onboarding checklist for a new sales employee's first week. Cover account access product training customer introductions and a check-in with the manager. Order the tasks by day and explain which task should be completed before the employee contacts prospects. Include a checkpoint for missing access.,moderate,47.0,309.0,4.0,6.57,0.0,0.0,3.0,1
Write a standard operating procedure for approving supplier invoices. Include the roles of the requester budget owner and finance team. Describe what happens when the amount differs from the purchase order and add a final recordkeeping step for audit readiness. Format it as a clear sequence of responsibilities.,moderate,48.0,312.0,4.0,6.5,0.0,0.0,3.0,1
Draft a weekly project status update using these facts: design is complete; development is 70 percent done; testing starts Monday; the main risk is delayed legal review. Separate progress next steps and risks. Keep the update suitable for a senior stakeholder who wants quick decisions. Include one requested decision.,moderate,49.0,318.0,4.0,6.49,0.0,3.0,5.0,1
Create a simple lead qualification rubric for a CRM. Use company size budget authority and timeline as criteria. Explain how a salesperson should score a lead and specify when a lead moves from marketing follow-up to direct sales outreach. Include a rule for incomplete information.,moderate,45.0,282.0,4.0,6.27,0.0,0.0,4.0,1
Rewrite a tense email from a colleague who says your team caused a delay. Preserve the core concern but make the message factual and solution focused. Include a request for the missing information and propose a short meeting if the issue cannot be resolved in writing. Keep the message under 140 words.,moderate,52.0,302.0,4.0,5.81,0.0,0.0,3.0,1
Prepare six structured interview questions for an entry-level customer success role. Cover communication prioritization learning and handling an unhappy user. For each question state what a strong answer should demonstrate so two interviewers can evaluate candidates consistently. Avoid questions that assume prior industry experience.,moderate,44.0,335.0,4.0,7.61,0.0,0.0,1.0,1
Design a triage process for an administrative inbox that receives travel requests invoice questions and urgent executive messages. Define three priority levels with response targets. Explain how to route a request that combines a travel change with a payment deadline. Include a brief rule for assigning ownership.,moderate,47.0,314.0,4.0,6.68,0.0,0.0,4.0,1
Create an outline for a five-slide presentation on reducing employee onboarding time. Include a problem statement evidence proposed changes implementation steps and success measures. For each slide give a title and the main message rather than writing full slide text. Make the final slide suitable for an executive decision.,moderate,49.0,325.0,4.0,6.63,0.0,0.0,5.0,1
Convert these notes into a concise executive summary: customer churn rose in March; a pricing change affected small accounts; support wait time also increased; the team plans targeted outreach. State the likely connection cautiously and identify the next metric leaders should review. Avoid claiming causation without evidence.,moderate,47.0,327.0,3.0,6.96,0.0,3.0,3.0,1
Draft a response to an employee requesting a permanent remote work arrangement. Acknowledge the request explain that approval depends on role requirements and offer a meeting to discuss practical needs. Keep the tone supportive without promising an outcome. Include one sentence about documenting the agreed next step.,moderate,47.0,318.0,4.0,6.77,0.0,0.0,3.0,1
Write a job description for an operations coordinator who manages meeting logistics purchase requests and document tracking. Include a brief purpose statement five responsibilities and three measurable qualifications. Use inclusive language and distinguish essential duties from preferred experience. Keep the role description under 250 words.,moderate,45.0,343.0,4.0,7.62,0.0,0.0,3.0,1
A retailer reports monthly revenue of 12000 15000 13500 and 18000 dollars across four months. Calculate month-over-month percentage change for each transition. Identify the largest increase and write two sentences explaining why percentage changes should be interpreted alongside absolute dollar changes. Show each calculation clearly.,moderate,45.0,335.0,4.0,7.44,0.0,0.0,3.0,1
Given order records with customer ID product category quantity and unit price describe a spreadsheet method to calculate revenue by category. Specify the calculated column needed then explain how to create a pivot table and sort the categories from highest to lowest revenue. Include one validation check for missing prices.,moderate,50.0,324.0,3.0,6.48,0.0,0.0,6.0,1
A subscription business began the quarter with 500 customers gained 80 new customers and lost 45 customers. Calculate ending customers net growth rate and customer churn rate for the quarter. Show the formulas and explain why growth rate and churn rate answer different management questions. State the denominator used for each rate.,moderate,52.0,333.0,4.0,6.4,0.0,0.0,3.0,1
Design SQL logic that identifies customers who made a first purchase in January and no later purchase within 60 days. Describe the tables and date comparison needed. Explain how the result could support a reactivation campaign without assuming every inactive customer is dissatisfied. Include how you would exclude refunded orders.,moderate,50.0,331.0,4.0,6.62,0.0,0.0,4.0,1
A team ran an A/B test: version A had 1000 visitors and 60 conversions; version B had 980 visitors and 75 conversions. Calculate each conversion rate and the absolute percentage-point difference. Explain why this alone does not prove that version B should be launched. Identify one further statistical check the team needs.,moderate,52.0,323.0,4.0,6.21,0.0,1.0,2.0,1
Create a three-month moving average forecast for weekly sales of 40 44 50 46 55 and 60 units. Show the forecast for each week after enough history exists. Explain how a moving average smooths noise and one reason it can lag behind a sudden trend. State how missing weeks should be handled.,moderate,52.0,289.0,4.0,5.56,0.0,0.0,3.0,1
Define business rules for approving a customer discount request. The rules should consider order value account tenure and current margin. Present a short decision table that separates automatic approval manager review and rejection. Explain how the rules prevent a sales representative from overriding a low-margin safeguard. Include one example request outcome.,moderate,51.0,362.0,5.0,7.1,0.0,0.0,4.0,1
An accounts team has invoices with duplicate invoice numbers and inconsistent supplier names. Describe a data-cleaning workflow that standardizes names finds duplicates and creates a review list. Include one rule for deciding whether two similar names likely represent the same supplier. Explain why uncertain matches should not be merged automatically.,moderate,50.0,353.0,4.0,7.06,0.0,0.0,5.0,1
Calculate the reorder point for an item with average daily demand of 12 units a lead time of 9 days and safety stock of 30 units. Show the formula then explain what changes if supplier lead time becomes less predictable. Keep inventory policy separate from the calculation. State the resulting reorder threshold.,moderate,52.0,312.0,4.0,6.0,0.0,0.0,3.0,1
Given monthly budget and actual spending for marketing payroll and software describe how to build a variance report. Specify the variance formula and a conditional format rule for overspending. Explain how to distinguish a one-time variance from a recurring trend before recommending action. Include one question a manager should ask.,moderate,50.0,334.0,4.0,6.68,0.0,0.0,5.0,1
Create a customer segmentation approach using purchase frequency average order value and recency. Define three segments with clear thresholds and describe one suitable message for each. Explain how you would validate that the thresholds are useful rather than arbitrary. State which metric would show whether the messages worked.,moderate,48.0,329.0,4.0,6.85,0.0,0.0,5.0,1
Explain how to reconcile a sales report with a payment processor export when totals differ. Lay out a step-by-step comparison of dates refunds fees and failed payments. State how to document unresolved differences so the finance team can investigate them later. Include a final check before closing the reporting period.,moderate,50.0,320.0,4.0,6.4,0.0,0.0,3.0,1
Translate this customer message into polite French while preserving its calm tone: I received the wrong charger and need the correct one before my trip on Monday. Then explain one wording choice that makes the request courteous rather than demanding. Keep the translation appropriate for a business email.,moderate,48.0,305.0,3.0,6.35,0.0,0.0,2.0,1
Compare the roles of the executive legislative and judicial branches in the United States. Explain how one branch can limit another using two concrete examples. Keep the answer focused on the basic separation of powers rather than current political events. Use a short structure that a student could study.,moderate,49.0,306.0,4.0,6.24,0.0,0.0,3.0,1
Explain why the Industrial Revolution began in Britain before spreading through parts of Europe. Identify three connected factors involving resources finance and labor. Then describe one social consequence for city residents in a short paragraph. Distinguish causes from consequences in the explanation.,moderate,42.0,303.0,4.0,7.21,0.0,0.0,3.0,1
Translate this English instruction into Japanese for a workplace manual: Submit the completed form by 5 PM and notify your manager if you need an extension. Use a polite formal register and briefly explain how the level of formality is conveyed. Preserve the deadline and requested action accurately.,moderate,48.0,300.0,3.0,6.25,0.0,0.0,2.0,1
Compare a parliamentary system with a presidential system of government. Describe how leaders are selected how terms can end early and one advantage of each structure. Avoid using current countries as examples so the comparison remains conceptual. End by naming one practical tradeoff between stability and accountability.,moderate,47.0,322.0,4.0,6.85,0.0,0.0,2.0,1
Explain the difference between a primary source and a secondary source in historical research. Classify a diary written during an event a textbook and a later documentary. State why the classification matters when evaluating a claim about the past. Include one limitation of each type of source.,moderate,47.0,295.0,4.0,6.28,0.0,0.0,3.0,1
Translate this Spanish sentence into natural English and explain the implied tone: Se agradecería que enviara la documentación antes del viernes. Give one direct translation and one version suitable for a friendly business reminder. Explain why the two English versions differ in formality.,moderate,43.0,290.0,3.0,6.74,0.0,0.0,2.0,1
Describe how the Silk Road influenced culture as well as trade. Connect the movement of goods with the spread of ideas or technologies. Give two examples and explain why the route should be understood as a network rather than one road. Keep the explanation suitable for a secondary school reader.,moderate,50.0,296.0,4.0,5.92,0.0,0.0,3.0,1
Explain how a referendum differs from a representative legislative vote. Describe who makes the final decision in each case and one benefit and risk of direct public voting. Use neutral wording with no reference to a current campaign. State why the two mechanisms can produce different outcomes.,moderate,47.0,295.0,4.0,6.28,0.0,0.0,3.0,1
Compare the Greek myths of Icarus and Pandora as cautionary stories. Summarize the central action in each and identify the lesson traditionally associated with it. Then explain one meaningful difference in the kind of warning each story gives. Keep the comparison focused on the myths rather than modern adaptations.,moderate,49.0,316.0,4.0,6.45,0.0,0.0,3.0,1
Translate this short product description into German for an online store: This reusable bottle keeps drinks cold for twelve hours and has a leak-resistant lid. Preserve the factual tone and explain how you would avoid an overly promotional translation. Keep product claims accurate and concise.,moderate,45.0,294.0,3.0,6.53,0.0,0.0,2.0,1
Explain why maps can show the same Earth surface at different apparent sizes. Compare a globe with a Mercator projection and describe one practical benefit and one distortion. State which representation you would choose for teaching global distance and why. Use plain language without advanced cartography terminology.,moderate,47.0,318.0,4.0,6.77,0.0,0.0,4.0,1
Write a helpful support reply to a customer whose wireless earbuds stop charging after two weeks. Acknowledge the frustration ask for the order number and offer two basic troubleshooting steps. Explain when the case should be escalated for a replacement. Keep the reply under 150 words and avoid promising an outcome too early.,moderate,53.0,327.0,4.0,6.17,0.0,0.0,2.0,1
Create a two-day weekend itinerary for a visitor to Melbourne who enjoys art markets and vegetarian food. Group activities by neighborhood to reduce travel time. Include one indoor backup for rain and explain how the plan balances sightseeing with unstructured time. Keep the schedule flexible enough for a late arrival.,moderate,50.0,320.0,4.0,6.4,0.0,0.0,4.0,1
Adapt a pasta recipe for someone who has no dairy and only 30 minutes to cook. Use pantry ingredients such as tomatoes beans spinach and dried herbs. Give ordered steps and explain one substitution that keeps the sauce satisfying without cheese. Include an optional protein addition for nonvegetarian diners.,moderate,49.0,308.0,4.0,6.29,0.0,0.0,2.0,1
Write a short mystery story set on a late train. Include a lost key a misleading announcement and a resolution that is fair to the reader. Keep the story below 500 words and explain in one sentence how the clue points to the answer. Give the main character a believable motive.,moderate,51.0,277.0,4.0,5.43,0.0,0.0,3.0,1
Respond to a hotel guest who reports noisy construction outside their room at 6 AM. Apologize explain the immediate options and avoid guaranteeing a refund before reviewing the booking. Include a clear next step for the guest and a note for the front desk record. Keep the language calm and professional.,moderate,51.0,304.0,4.0,5.96,0.0,0.0,4.0,1
Design a weekly household chore plan for three roommates who work different schedules. Divide recurring tasks fairly and include a method for swapping chores. Explain how the plan prevents one person from repeatedly receiving the least desirable tasks. Include a brief weekly check-in rule for resolving disagreements.,moderate,47.0,318.0,4.0,6.77,0.0,0.0,4.0,1
Write a warm but firm reply to a customer asking for a return after the 30-day window. Mention the policy summarize the item condition needed for an exception review and offer an alternative such as store credit when appropriate. Avoid sounding scripted. Explain what information the agent should verify first.,moderate,50.0,310.0,4.0,6.2,0.0,0.0,4.0,1
Plan a beginner running routine for someone preparing for a 5K in eight weeks. Include three workouts per week rest days and a simple way to increase distance. Explain how the schedule reduces injury risk without assuming access to a gym. Add a guideline for adjusting the plan after persistent pain.,moderate,51.0,300.0,4.0,5.88,0.0,0.0,3.0,1
Create a packing checklist for a five-day winter business trip with one formal dinner and two outdoor walks. Organize items by category and explain how to choose layers that work for variable weather. Include one strategy for packing efficiently in carry-on luggage. Account for electronics and essential documents.,moderate,48.0,315.0,4.0,6.56,0.0,0.0,3.0,1
Draft a response to a subscription customer who says they were charged after cancelling. Explain how to verify the cancellation date and payment record before promising a refund. Use empathetic language and list the information support needs to investigate the case. Include a clear expected follow-up timeframe.,moderate,47.0,312.0,4.0,6.64,0.0,0.0,3.0,1
Write a 250-word birthday toast for a close friend who loves gardening and has just changed careers. Include one light joke one sincere reflection and a hopeful closing. Keep it personal without inventing specific events that the speaker did not provide. Make the final line easy to raise a glass to.,moderate,51.0,300.0,4.0,5.88,0.0,0.0,2.0,1
Help a parent plan weekday dinners for a family of four with one vegetarian child and a 60-dollar grocery limit. Suggest five varied meals using overlapping ingredients. Explain how the plan reduces waste and identify which meal can become leftovers for lunch. Include a short shopping list grouped by ingredient type.,moderate,51.0,318.0,4.0,6.24,0.0,0.0,3.0,1
Create a troubleshooting script for a caller whose home Wi-Fi connects but websites will not load. Begin with simple checks then move to router restart and device testing. Explain what each result reveals and when the caller should contact their internet provider. Use wording a nontechnical caller can follow.,moderate,49.0,310.0,4.0,6.33,0.0,0.0,2.0,1
Write a friendly response to an online review that praises product quality but criticizes slow delivery. Thank the reviewer acknowledge the delay and describe one concrete improvement the company is making. Keep the response public-facing and avoid sharing order details. End with an invitation to contact support if needed.,moderate,49.0,324.0,4.0,6.61,0.0,0.0,3.0,1
Plan a simple bedroom reorganization for a person who wants more desk space and easier access to daily clothes. Give a sequence for sorting moving furniture and assigning storage zones. Explain how to decide what should be donated rather than kept. Include one safety check before moving heavy items.,moderate,49.0,300.0,4.0,6.12,0.0,0.0,3.0,1
Compose a creative prompt for a writing group about a town where every forgotten object sends one message before disappearing. Include setting character tension and a surprising constraint. Then provide three questions that help writers develop different stories from the premise. Keep the premise open to several genres.,moderate,48.0,321.0,4.0,6.69,0.0,0.0,3.0,1
Draft a tactful message to a neighbor about a dog barking late at night. Describe the impact without accusation request a specific change and suggest a cooperative way to resolve the issue. Keep the tone suitable for someone you want to remain friendly with. Include an option for discussing the problem in person.,moderate,53.0,314.0,4.0,5.92,0.0,0.0,3.0,1
Create a decision guide for choosing between repairing or replacing a laptop with a cracked screen. Consider repair cost device age warranty status and the user's needs. Explain how to reach a practical recommendation without assuming the newest model is always best. Include one case where repair is clearly preferable.,moderate,50.0,320.0,4.0,6.4,0.0,0.0,3.0,1
Solve the system 3x plus 2y equals 16 and x minus y equals 2 using substitution. Show each algebra step and verify the final values in both equations. Then explain why substitution is especially convenient when one equation can be rearranged easily. State the ordered pair as the final answer.,moderate,50.0,293.0,4.0,5.86,0.0,0.0,2.0,1
A ball is thrown straight upward at 20 meters per second. Using gravity as 9.8 meters per second squared calculate the time to reach maximum height and the maximum height. Show the equations then state one assumption that makes this model approximate. Include the units for both results.,moderate,48.0,287.0,5.0,5.98,0.0,0.0,3.0,1
Balance the chemical equation for methane combustion: CH4 plus O2 yields CO2 plus H2O. Explain how you choose coefficients without changing subscripts. Then calculate how many moles of oxygen are required for two moles of methane. Verify that each element has the same atom count on both sides.,moderate,48.0,294.0,4.0,6.12,0.0,0.0,2.0,1
Design a simple experiment to test whether light color affects plant growth. State the hypothesis independent variable dependent variable and controls. Explain how you would collect measurements over four weeks and why using several plants per condition improves reliability. Include one method for recording the results consistently.,moderate,47.0,334.0,4.0,7.11,0.0,0.0,5.0,1
A circuit has a 12-volt battery and two 6-ohm resistors connected in series. Calculate total resistance current and voltage drop across each resistor. Show the relevant formulas and explain how the answer would differ if the resistors were connected in parallel. State one safety reason to disconnect power before changing components.,moderate,51.0,334.0,4.0,6.55,0.0,0.0,3.0,1
Use a Punnett square to predict offspring traits when two heterozygous pea plants are crossed for a dominant yellow seed trait. State the possible genotypes and phenotype ratio. Explain why a predicted ratio may not match exactly in a small real sample. Distinguish genetic probability from a guaranteed outcome.,moderate,49.0,312.0,4.0,6.37,0.0,0.0,3.0,1
A bag contains 5 red balls 3 blue balls and 2 green balls. Calculate the probability of drawing a blue ball then a red ball without replacement. Show the multiplication rule and explain why the second probability changes after the first draw. Compare this result with drawing the balls with replacement.,moderate,51.0,303.0,4.0,5.94,0.0,0.0,3.0,1
Find the mean median and range of these measurements: 4 7 7 9 13 15. Explain which measure best represents the typical value and why. Then describe how adding one value of 100 would affect the mean and median differently. Show the calculations before interpreting them.,moderate,46.0,269.0,4.0,5.85,0.0,0.0,2.0,1
Explain the difference between weather and climate using a week of rainy days as an example. Identify the time scale involved in each term and describe how scientists use long-term observations to detect climate patterns. Avoid making a forecast. Include one reason a single unusual week cannot establish climate change.,moderate,50.0,320.0,4.0,6.4,0.0,0.0,3.0,1
Calculate the kinetic energy of a 1200-kilogram car traveling at 15 meters per second. Show the formula and units. Then explain what happens to kinetic energy if the speed doubles and why this matters for braking distance. State one assumption made by the simple calculation.,moderate,45.0,275.0,4.0,6.11,0.0,0.0,3.0,1
Explain how natural selection can change the frequency of a trait in a population over generations. Use a simple example involving insects and pesticide exposure. Identify variation inheritance and differential survival in the explanation without implying that individual insects choose to adapt. End by describing what happens after repeated exposure.,moderate,50.0,352.0,4.0,7.04,0.0,0.0,2.0,1
Given a map scale of 1 centimeter to 5 kilometers calculate the real distance for a route measuring 7.4 centimeters. Show the conversion. Then explain how road curves and elevation can make actual travel distance or time differ from a straight map measurement. State which map feature could help refine the estimate.,moderate,52.0,316.0,5.0,6.08,0.0,0.0,3.0,1
Compare conduction convection and radiation as ways heat moves. Give one everyday example for each and explain why a metal spoon heats differently from a pot of water on a stove. Keep the examples tied to the underlying particle behavior. Include a sentence explaining why radiation can travel through space.,moderate,50.0,308.0,4.0,6.16,0.0,0.0,3.0,1
Determine the slope and y-intercept of the line passing through the points 2 5 and 6 13. Show the calculation then write the equation in slope-intercept form. Explain how you would check that both original points satisfy the equation. State how the slope describes the line's direction.,moderate,47.0,286.0,4.0,6.09,0.0,0.0,4.0,1
Explain how a lunar eclipse occurs and why it does not happen every month. Describe the alignment of the Sun Earth and Moon. Then distinguish a total lunar eclipse from a partial lunar eclipse using the position of the Moon in Earth's shadow. Keep the explanation focused on geometry rather than astrology.,moderate,52.0,306.0,4.0,5.88,0.0,0.0,3.0,1
A sample contains 80 grams of a substance with a half-life of 6 hours. Calculate how much remains after 18 hours. Show each decay interval and explain why the amount decreases by a fraction rather than a fixed number of grams. Include one sentence about what the half-life does not tell you.,moderate,52.0,291.0,4.0,5.6,0.0,0.0,3.0,1
Analyze the chord progression C major then A minor then F major then G major. Identify the Roman numerals in the key of C major and explain why the progression tends to create a sense of return. Suggest one chord that could extend it. Keep the explanation accessible to a beginning music student.,moderate,53.0,296.0,4.0,5.58,0.0,0.0,4.0,1
Use the ideal gas law to calculate the volume of 0.5 moles of an ideal gas at 300 kelvin and 1 atmosphere. Use R equals 0.0821 liter atmospheres per mole kelvin. Show unit substitution and state one condition where the ideal gas model becomes less accurate. Round the final volume appropriately.,moderate,51.0,295.0,6.0,5.78,0.0,0.0,2.0,1
Design a migration plan for a decade old Java monolith that authorizes card payments and stores orders in one PostgreSQL primary located in Melbourne. Sales peaks reach four thousand requests per second and the business must add European customers without exposing card data across regions. The replacement must support active traffic in Melbourne and Frankfurt while preserving PCI DSS controls and exactly once financial outcomes. Produce a target architecture with bounded services event contracts and ownership boundaries. Explain the extraction sequence for checkout ledger refunds and notifications. Define idempotency keys ordering guarantees schema evolution and replay procedures. Cover dual writes backfills reconciliation of settled transactions and a rollback path for every migration phase. Specify encryption key management regional data residency access controls and audit evidence. Include capacity assumptions failure modes network partitions dead letter handling observability signals and alert thresholds. Finish with a phased delivery roadmap that identifies team dependencies test environments success metrics and the conditions required before retiring the monolith.,complex,162.0,1188.0,10.0,7.33,0.0,0.0,7.0,2
Analyze an intermittent production failure in a Go service mesh where checkout requests return HTTP 503 only during traffic spikes. The payment service appears healthy but traces show repeated retries between the gateway inventory service and a sidecar proxy. Database latency rises after the retries begin and autoscaling adds pods too late. You have read access to traces metrics deployment history and configuration but cannot change production until a reviewed plan exists. Develop a diagnostic strategy that separates root cause candidates from secondary effects. Specify the evidence needed for each hypothesis and the order in which to collect it. Examine retry budgets circuit breaking connection pools DNS behavior resource limits autoscaler signals and database saturation. Propose safe experiments for staging and limited production validation. Then design a remediation that prevents retry storms while retaining resilience for genuine transient failures. Include configuration changes code changes capacity safeguards dashboards alert rules rollout stages rollback criteria and an incident report structure that allows executives and engineers to reach consistent conclusions.,complex,167.0,1189.0,10.0,7.12,0.0,0.0,8.0,2
Create a reference architecture for a multi tenant analytics SaaS that ingests customer events through public APIs and produces dashboards within five minutes. Enterprise tenants require regional residency dedicated encryption keys single sign on and exportable audit trails. Smaller tenants may share compute but cannot observe one another through timing metadata query plans or support tooling. The service must handle sudden traffic from a single tenant without degrading all other customers. Describe the control plane and data plane along with tenancy boundaries at identity ingestion storage processing caching and observability layers. Choose isolation strategies for each tier and justify their cost and operational tradeoffs. Define quotas admission control backpressure retention deletion and lawful export workflows. Explain how schema changes customer managed keys identity provider outages and cross region failures should behave. Include threat modeling for insider access and noisy neighbor risks. Provide a delivery sequence with milestones test scenarios operational ownership service level objectives and a decision record for cases where premium tenants require stronger isolation.,complex,166.0,1200.0,10.0,7.23,0.0,0.0,6.0,2
